iter	RMSE
0	1.409530096
1	1.393489359
2	1.378980282
3	1.365428472
4	1.353393263
5	1.338605461
6	1.324221031
7	1.309843435
8	1.29764787
9	1.28557272
10	1.274075144
11	1.262263579
12	1.251308966
13	1.240833582
14	1.230199551
15	1.218549944
16	1.209881728
17	1.200893689
18	1.190590508
19	1.182307185
20	1.17226118
21	1.162633636
22	1.154099007
23	1.146947615
24	1.14015273
25	1.13265094
26	1.125065864
27	1.116449021
28	1.109591562
29	1.102612649
30	1.097008466
31	1.088373283
32	1.081194084
33	1.075041678
34	1.068741376
35	1.063266854
36	1.057438897
37	1.051379049
38	1.046018977
39	1.03938429
40	1.034216792
41	1.031533878
42	1.025731057
43	1.021451347
44	1.019093873
45	1.014452426
46	1.009668424
47	1.005617645
48	1.001417052
49	0.9961257242
50	0.9916221078
51	0.9861716797
52	0.9817850578
53	0.9773357202
54	0.9734854273
55	0.9689698124
56	0.9648229621
57	0.9596606639
58	0.9537211847
59	0.950766628
60	0.9464975087
61	0.9419987137
62	0.9380978961
63	0.9346867506
64	0.9311012912
65	0.9279922034
66	0.924599585
67	0.922163152
68	0.9181626303
69	0.9153864724
70	0.913790261
71	0.9113364505
72	0.90849831
73	0.9061164408
74	0.9035653245
75	0.9000171411
76	0.8975405718
77	0.8949982175
78	0.8931939259
79	0.8916908141
80	0.8895675934
81	0.8887283272
82	0.8871616037
83	0.8850719543
84	0.8837558217
85	0.8815682661
86	0.8793883253
87	0.8773604563
88	0.8755498173
89	0.8719167917
90	0.8682396719
91	0.8664763854
92	0.8625369493
93	0.8608755133
94	0.8575168868
95	0.8554917729
96	0.8534309162
97	0.8496077216
98	0.8473866992
99	0.8447464406
100	0.8426840819
101	0.841296811
102	0.8399097175
103	0.8374754172
104	0.8363741758
105	0.8349305116
106	0.8330371991
107	0.8314915287
108	0.8295121005
109	0.8268343165
110	0.8250473367
111	0.8236737092
112	0.8228248663
113	0.8213147135
114	0.820346434
115	0.8186707065
116	0.8170652789
117	0.8158489201
118	0.8142329776
119	0.8128125081
120	0.8116185345
121	0.8092613432
122	0.8058025126
123	0.8045638697
124	0.8028617873
125	0.7999775018
126	0.7991068159
127	0.7982776185
128	0.7971363121
129	0.7952984656
130	0.7928727528
131	0.7907281832
132	0.7893938768
133	0.7887042704
134	0.78685929
135	0.7861641149
136	0.7850526444
137	0.7824867661
138	0.7806468766
139	0.7797942066
140	0.7788948618
141	0.7777078378
142	0.7768354312
143	0.7750414256
144	0.7738021148
145	0.7735032207
146	0.7726978175
147	0.7705273694
148	0.7696118509
149	0.7686597156
150	0.7675195483
151	0.7668964283
152	0.7663803081
153	0.7644525673
154	0.7637771676
155	0.7627297172
156	0.7620242761
157	0.7601346811
158	0.7582926268
159	0.7567491403
160	0.7547414541
161	0.7536183272
162	0.7515513095
163	0.7499061879
164	0.74831123
165	0.7477941938
166	0.7457315518
167	0.7445992434
168	0.7440570476
169	0.7432577915
170	0.7430323684
171	0.7416707771
172	0.7398766122
173	0.7388351495
174	0.7370793478
175	0.7359946656
176	0.735752699
177	0.7334443651
178	0.7321564651
179	0.7299904309
180	0.7295885988
181	0.7290757549
182	0.7274757332
183	0.7269698715
184	0.7263705817
185	0.7260501779
186	0.725390258
187	0.7242148289
188	0.7232613544
189	0.7229784207
190	0.7211915348
191	0.7202487807
192	0.7186358021
193	0.7166618522
194	0.7160189175
195	0.7147970733
196	0.714087347
197	0.7132432134
198	0.7130841585
199	0.7123643572
200	0.7112302522
201	0.7094419824
202	0.7089816725
203	0.708558629
204	0.7080791082
205	0.7076434246
206	0.7068321849
207	0.7053955495
208	0.7048937889
209	0.7042984765
210	0.7034572858
211	0.7030657103
212	0.70281992
213	0.7010019343
214	0.699841985
215	0.6983407857
216	0.6971798521
217	0.6959450116
218	0.6956157293
219	0.6953845366
220	0.6946832097
221	0.694014997
222	0.6932721748
223	0.6927120356
224	0.6919608437
225	0.6916289889
226	0.6912667624
227	0.6909905766
228	0.6896857829
229	0.6893052501
230	0.6890457757
231	0.6878496975
232	0.6872571018
233	0.6864604294
234	0.6857158389
235	0.6843921511
236	0.683292028
237	0.6830362494
238	0.6823393941
239	0.6820832584
240	0.681679118
241	0.6806986537
242	0.6798337233
243	0.678938411
244	0.6784990097
245	0.6782369548
246	0.6779802277
247	0.6773890208
248	0.6770242103
249	0.6759974996
250	0.6754429697
251	0.6741269818
252	0.6735512846
253	0.6732450661
254	0.6729772983
255	0.6727775676
256	0.67238405
257	0.6721919291
258	0.6715250547
259	0.6712638514
260	0.6710147333
261	0.6705815215
262	0.6703508859
263	0.6701671245
264	0.6691726906
265	0.6681058907
266	0.6672170133
